Name in English,Name in Urdu
Muhammad Kalim,محمد کلیم
Muhammad Syed,محمد سید
Maktoom,مکتوم
Mahshaf,محشف
Mutali,متعالی
Maank,مانک
Muhammad Babar,محمد بابر
Mahir Ahmed,ماہر احمد
Muhammad Tasleem,محمد تسلیم
Mofiq,موفق
Muhammad Tabassum,محمد تبسم
Momin Ali,مومن علی
Muhamil,محامل
Meraj Ali,معراج علی
Muhammad Kiyan,محمد کایان
Musher,مشعر
Muhammad Majid,محمد ماجد
Maamun,مامون
Muawin,معاون
Manhib,منہب
Maksar,مکسار
Muhammad Abir,محمد عابر
Mehtab Ali,مہتاب علی
Mushir,مشیر
Maant,مانت
Manqad,منقاد
Maawiya,معاویہ
Mahir Hussain,ماہر حسین
Mutaaf,مطاف
Majid Hussain,ماجد حسین
Mufiq,مفیق
Mahmeen,مہمین
Muhammad Khurram,محمد خرم
Muhammad Shakil,محمد شکیل
Musfer,مسفر
Muhammad Ansari,محمد أنصاري
Mashkat,مشکاۃ
Muhammad Islam,محمد اسلام
Muarif,معارف
Meerab Ali,میراب علی
Mahicha,ماہیچہ
Mahad,مہاد
Mubashir Hussain,مُبشیرحسین
Musil,مثیل
Muhammad Mirza,محمد مرزا
Mugheerah,مغیرہ
Mazaham,مزاحم
Mustanir,مستنیر
Mulah,ملاح
Motie,مطیع
Mathada,متہدیٰ
Mubashir Ahmed,مُبشیراحمد
Makhool,مکحول
Muhammad Yamin,محمد یامن
Mudassar Ahmed,مدثر احمد
Muhammad Nahid,محمد ناہد
Mustajir,مستجیر
Mohsin Hussain,محسن حسین
Meraj Ahmed,معراج احمد
Muhammad Ishrat,محمد عشرت
Mazher,مظہر
Majeeb,مجیب
Murtaza Hussain,مرتضیٰحسین
Musab,مصعب
Muhammad Wasim,محمد وسیم
Mudabir,مدبر
Mehran Ali,مھران علی
Musa Hussain,موسیٰ حسین
Muhammad Nusrat,محمد نصرت
Matair,مطائر
Mehrab Ali,محراب علی
Mah-e-Kinaan,ماہ کنان
Muzri,مضری
Muzar,مزار
Muzafar,مظفر
Marsus,مرصوص
Mustajaab,مستجاب
Maymuun,میومون
Mutamid,معتمد
Muneeb Ali,منیب علی
Mahzoor,محذور
Murwat,مروت
Mutlib,مطلب
Muhammad Abraham,محمد ابراہیم
Mughis,مغیث
Miran,میراں
Mahmish,محمش
Musaa,موسیٰ
Mateen Ali,متینعلی
Misbah Ahmed,مصباحاحمد
Mufkham,مفخم
Musaana,مثنیٰ
Murabit,مرابط
Manzood,منضود
Mehtab Hussain,مہتاب حسین
Mekaiel,میکائیل
Murshad Ali,مرشد علی
Moiz Hussain,معیز حسین
Mubeen Ahmed,مبیناحمد
Muzal,مظل
Muhammad Zohran,محمد زہران
Mehtaab,مہتاب
Mustafaa,مصطفیٰ
Mahasab,محاسب
Madoon,مدون
Muhammad Sahir,محمد سہیر
Muzzayal,مزیل
Muttib,مطیب
Muhammad Noshad,محمد نوشاد
Muhammad Rohail,محمد روحیل
Mubeen Ali,مبینعلی
Muhammad Murshad,محمد مرشد
Mukashif,مکاشف
Muznib,مذنب
Mehmer,محمر
Muhammad Shamim,محمد شمیم
Maarb,مارب
Murshad Ahmed,مرشد احمد
Mehrab Hussain,محراب حسین
Mehram Ali,محرم علی
Mujla,مجلیٰ
Mahmer,محمر
Mamid,ممد
Muhammad Sarwar,محمد سرور
Milhan,خضر
Manaan,منان
Mussawer,مصور
Manjad,منجد
Morsed,مرصد
Muhammad Haroon,محمد ہارون
Moazzam Hussain,معظم حسین
Majuz,مجوز
Madyaan,مدیان
Muneeb Hussain,منیب حسین
Mutaal,متعال
Muhammad Ayyan,محمد آیان
Meerab Ahmed,میراب احمد
Muhammad Nishat,محمد نشاط
Muhammad Minhaj,محمد منہاج
Maskhar,مصخر
Muati,معطی
Maad,معد
Mizmar,مضمار
Murtaza Ahmed,مرتضیٰاحمد
Mateen Ahmed,متیناحمد
Maqdoor,مقدور
Mujadad,مجدد
Manesta,مانستہ
Masoom Abbas,معصوم عباس
Muhammad Mustaqim,محمد مستقیم
Mehboob Ahmed,محبوباحمد
Misbah Ali,مصباحعلی
Mustoor,مسطور
Mushahadah,مشاہدہ
Madshar,مدشر
Maasid,ماسد
Muhammad Iffat,محمد عفت
Mubassar,مبصر
Mubassar,مبصر
Musqal,مثقال
Mazhar Ahmed,مظہر احمد
Mujid,مجید
Muqayyat,مقیت
Makis,مکیث
Mubligh,مبلغ
Muweed,موید
Mehmet,مہمت
Masaad,مساعد
Mehdi Ali,مہدی علی
Mudaber,مدبر
Mahamal,محامل
Muhammad Muzammel,محمد مزمل
Muzzamil,مزمل
Muhammad Aurangzeb,محمد اورنگ زیب
Mutaam,مطعم
Malaaz,ملاذ
Mudriq,مدرک
Mushrab,مشرب
Muqtani,مقتنی
Muhammad Rasheed,محمد رشید
Mahin Ahmed,ماح احمد
Madakh,مادخ
Mubrem,مبرم
Moayyed,موئید
Marooh,مروح
Misbah Hussain,مصباححسین
Muteeh,مطیع
Mudid,مدید
Matanat,متانت
Mabtur,مبتور
Muftoon,مفتون
Muzammel Hussain,مزمل حسین
Muhammad Muqaddas,محمد مُقدس
Martaj,مرتاج
Museed,مصید
Musaffer,مصفر
Mahim,ماہم
Mahasir,محاصر
Mubazer,مبازر
Mubeen Hussain,مبینحسین
Muhammad Ramiz,محمد رمیز
Mihan,میہان
Muktafi,مکتفی
Mabdi,مبدی
Mazboor,مزبور
Moslim,مسلم
Maanih,مانح
Mashoof,مشعوف
Maboor,مابور
Masdiq,مصدق
Mehsheed,مہشید
Murshah,مرشح
Maruat,ماروت
Manzor,منظور
Murshad Hussain,مرشد حسین
Meraj Hussain,معراج حسین
Mudaam,مدام
Motassim,معتصم
Motassim,معتصم
Muhammad Adeel,محمد عدیل
Muhammad Shamim,محمد شمیم
Meraat,مرات
Muharam,محرم
Maared,مارد
Mashmar,مشمر
Muhammad Aiman,محمد ایمن
Musabbay,مصبح
Makshoof,مکشوف
Mahid,ماہید
Muften,مفطن
Minzar,منظار
Minhaar,منحار
Momin Hussain,مومن حسین
Mujtahed,مجتہد
Momin Ahmed,مومن احمد
Mujtaba Hussain,مجتبیٰحسین
Manseb,منصب
Mujeeb Ahmed,مجیب احمد
Munajjam,منجم
Mutbassam,متبسم
Muzmir,مضمیر
Museq,موثق
Marir,مریر
Mubassar,مبصر
Musalik,مسالک
Muzher,مزہر
Motaber,معتبر
Mutraf,مطرف
Memoon,میمون
Mahtaab,مہتاب
Mehshid,مہشید
Mahafil,محافل
Muhammad Maher,محمد مہر
Makashif,مکاشف
Maqeem,مقیم
Mirza Ali,مرزاعلی
Mustaaqeem,مستقیم
Mustabser,مستبصر
Munsabdar,منصبدار
Mafreh,مفرح
Meerab Hussain,میراب حسین
Mahsood,محسود
Mabrud,مبرد
Mujtaba Ahmed,مجتبیٰاحمد
Mehran Ahmed,مھران احمد
Mustehsin,مستحسن
Muhammad Rana,محمد رانا
Maiza,مائزہ
Mooras,مورث
Muhammad Rizvi,محمد رضوی
Massoon,مصون
Muhammad Shakeel,محمد شکیل
Mujahid Ahmed,مجاہد احمد
Mursaleen,مرسلین
Maqri,مقری
Madasser,مدثر
Muqbel,مقبل
Mehzan,مہزان
Muzaki,مزکی
Muhammad Savera,محمد سویرا
Maashad,ماشد
Mutreb,مطرب
Mushiyat,مشیت
Mustakfi,مستکفی
Muajzaat,معجزات
Muhabat,محبت
Mansoos,منصوص
Mudrab,مدرب
Mustanjid,مستنجد
Mazzayan,مزین
Muallam,معّلم
Mutiem,مطعم
Munid,منعد
Muntasir Ahmed,منتصر احمد
Muhammad Abu-Turab,محمد بوتراب
Mehrab Ahmed,محراب احمد
Muzalil,مزلل
Muzaham,مزاحم
Mukhshaf,مخشف
Munfatah,منفتح
Mursaad,مرصاد
Musmer,مثمر
Muaqil,معاقل
Muhammad Saria,محمد ساریہ
Muhlab,مہلب
Marahat,مراحت
Muqadim,مقدم
Mehar Ahmed,مہر احمد
Mifrah,مفراح
Mehar Hussain,مہر حسین
Mutaqi,متقی
Mased,ماثد
Mohtamid,محتمد
Munawwer,منور
Moazzam Ahmed,معظم احمد
Muassif,موصف
Minhaj Ahmed,منہاج احمد
Muftaah,مفتاح
Murtaaj,مرتاج
Mozzaf,موضف
Majid Ahmed,ماجد احمد
Mutidin,متدین
Miksar,مکثار
Monazar,مناظر
Muarfat,معرفت
Muzzayef,مضیف
Mastanser,مستنصر
Mubarez,مبارز
Murashid,مراشد
Meesam,میثم
Maskoor,مسکور
Meryaan,مریان
Mukhzir,مخضر
Mutrasid,مترصد
Mumjad,ممجد
Mushtaq Hussain,مشتاقحسین
Muzzaki,مزکی
Maatir,ماطر
Maatir,ماطر
Minaar,منار
Mateen Hussain,متینحسین
Miqdaam,مقدام
Mustifeed,مستفید
Maaziq,مازق
Mutazid,معتضد
Mustimer,مستمر
Muhammad Shahadat,محمد شہادت
Maqtada,مقتداء
Muqtasir,مقتصر
Mutarrab,مطرب
Mateeq,مطیق
Muzear,مزئر
Majaddad,مجدد
Mursalin,مرسلین
Muhammad Adib,محمد ادیب
Muhzid,محضد
Munfarah,منفرح
Majdood,مجدود
Marqsam,مرقسم
Mirzza,مرزا
Mahil,ماہل
Mahsher,محشر
Muaqqan,موقن
Munaf,مناف
Muzyaf,مضیاف
Missbah,مصباح
Mahzooraa,محذورہ
Mustafeed,مستفید
Mahzooraa,محذورہ
Maarij,معارج
Mukhzan,مخزن
Muqarab,مقارب
Murteza,مرتضیٰ
Mustamad,مستمد
Mukhayal,مخیال
Muksar,مکسار
Mabsoor,مبثور
Martmoor,مرتمور
Mussdaq,مصدق
Miraah,مراح
Muhlal,محلل
Mujtabaa,مجتبیٰ
Muqqar,موقر
Mahin Ali,ماح علی
Mahbeer,مہبیر
Maznab,مزنب
Mazhad,مزہد
Mikhar,مخار
Muqaddas Ali,مُقدسعلی
Mutkafil,متکفل
Mustjaab,مستجاب
Makeenas,مکینث
Matmoor,متمور
Maher Hussain,مہر حسین
Majnuh,مجنوں
Murtezvi,مرتضوی
Muqtida,مقتدا
Masahiz,مساہز
Mishwaz,مشواذ
Mutmam,متمم
Mnzar,منظر
Mumhed,ممہد
Muzmer,مضبر
Mishary,مشاری
Muqim,مقیم
Mahabuss,محبوص
Muhtan,محتان
Munfiq,منفق
Mustezher,مستظہر
Muqtazi,مقتضی
Mazhir,مظہر
Mamayyaz,ممیز
Mudarrab,مدرب
Mutmail,متمائل
Musmur,مثمور
Muna-am,منعم
Madehh,مادح
Muhayyur,محیر
Musghir,مصغر
Minaj,مناج
Muterz,مطرز
Muhammad Ali,محمد علی
Mouood,موعود
Mustafsir,مستفسر
Mushayan,مشین
Mutbadir,متبادر
Muqzi,مقضی
Muhhood,معہود
Mustabid,مستبد
Mukhraq,مخراق
Mogheez,مغیث
Mujeeb Ali,مجیب علی
Mascore,مسکور
Munaa-am,مناعم
Maknooz,مکنوز
Mujaaz,مجاز
Mubhaj,مبہج
Mustaqim Ahmed,مستقیم احمد
Monirul,منیرول
Mutatid,معتتد
Mamayyat,ننئت
Muqees,مقیث
Manshaa,منشا
Majeez,مجیز
Mooriq,مورق
Muntasir Hussain,منتصر حسین
Muzammel Ahmed,مزمل احمد
Mazafer,مظفر
Mohtassab,محتسب
Maqaram,مکارم
Mahruse,محروس
Minqaad,منقاد
Mustataab,مستطاب
Mirza Hussain,مرزاحسین
Malboob,ملبوب
Muaqar,موقر
Muhtajib,محتجب
Mehjer,مہجر
Muhtajib,محتجب
Mehjer,مہجر
Munhemer,منہمر
Mustqeem,مستقیم
Mughmed,مغمد
Madammin,مدمن
MolaBakhsh,مولابخش
Mustataa,مستطاع
Muwhhed,موحد
Mashaaq,مشاق
Muanber,معنبر
Muzkir,مزکر
Mubaah,مباح
Mutqarib,متقارب
Motamar,موتمر
Merzuk,مرزوق
Mugheir,مغیر
Muhammad Hajra,محمد حاجرہ
Mohiuddin,محی الدین
Mufrooh,مفروح
Muhammad Nazish,محمد نازش
Mukhraaq,خوبصورت
Mujawer,مجاور
Mughabber,مغبر
Mujahiz,مجاہز
Maher Ahmed,مہر احمد
Muntasir Ali,منتصر علی
Musbeh,مسبح
Mutsey,متسع
Modud,مودود
Matiullah,مطیع اللہ
Mustekrim,مستکرم
Maadil,معدل
Muariz,معرض
Mobrra,مبرا
Meraaj,معراج
Mughmeer,مغمیر
Mehram Hussain,محرم حسین
Malhan,ملہان
Muhammad Tawakkal,محمد توکل
Mubadir,مبادر
Multabas,ملتبس
Murbeh,مربح
Mughir,مغیر
Mukhlis Ali,مخلص علی
Maktasi,مکتسی
Mukhzen,مخزن
Muhstan,محستان
Mahin Hussain,ماح حسین
Munntahi,منتہی
Mukhraq,مخراق
Mukkarram,مکرم
Muftaraa,مفتراع
Mubqi,مبقی
Mirzaa,مرزا
Mahrez,مہریز
Mutbesem,مبقسم
Mustashir,مستشیر
Mutabid,متعبد
Mufakkar,مفکر
Mujeeb Hussain,مجیب حسین
Munsharah,منشرح
Mammduh,ممدوح
Moawan,معاون
Mughnee,مغنی
Mishu,مشو
Mahathir,مہاتیر
Milataf,ملاطف
Munbisat,منبسط
Mutahir,مطاہر
Muhtasim,محتسم
Muknat,مکنت
Mashdar,مشدار
Munajji,منجی
Muhaddas,محدث
Mahib,محب
Mufzal,مفضل
Mutwast,متوسط
Mehsheed,مہشید
Mofoor,موفور
Mutwakkal,متوکل
Murtaqa,مرتقیٰ
Mohzir,محضر
Mujtaba Ali,مجتبیٰعلی
Massyattar,مصیطر
Maooq,معوق
Muqqadas,مقدس
Muftakhir,مفتخر
Mabgham,مبغم
Muhtris,محترس
Motmed,معتمد
Motaali,معتالی
Mehran Hussain,مھران حسین
Mahashud,محشود
Muzammel Ali,مزمل علی
Mushaahid,مشاہد
Muqayyem,مقیم
Mamneer,ممنیر
Muqbaas,مقباس
Muqari,مقری
Muqaddas Ahmed,مُقدساحمد
Mustershud,مسترشد
Motmed,معتمد
Mukhlis Hussain,مخلص حسین
Moweebah,مویبہہ
Mohaqil,محاقل
Mahaqel,محاقل
Maadin,مدین
Mehram Ahmed,محرم احمد
Muawaan,معوان
Muhatzar,محتضر
Muttaqati,متقاتی
Mehdi Hussain,مہدی حسین
Maqbas,مقبس
Mirza Ahmed,مرزااحمد
Murtaish,مرتعش
Mustahkam,مستحم
Mughriq,مغرق
Mutahar,مطہر
Mihran,مہران
Mushayed,مشید
Mubsir,مبصر
Mekhdoom,مخدوم
Mukfi,مکفی
Minhaj Hussain,منہاج حسین
Munamaam,منعمام
Maroof Ahmed,معروف احمد
Minhas,منہاس
Mustaqim Ali,مستقیم علی
Muqareb,مقارب
Muhaasib,محاصب
Mohtrem,محترم
Mustaqim Hussain,مستقیم حسین
Mustehsim,مستحسن
Mubdeh,مبدع
Mutraqib,مترقب
Maqaddam,مقدم
Maabad,ماباد
Munsaram,منصرم
Mutemen,موتمن
Mirhan,میرہان
Muntasr,منتصر
Munqateh,منقتح
Mufsees,مفصیص
Maaarib,معاریب
Mursood,مرصود
Mohsinaan,محسنان
Maroof Hussain,معروف حسین
Mohtida,مہتدیٰ
Mutbarz,مطبرز
Muhammad Sidra,محمد سدرہ
Massrur,مسرور
Muatta,معطیٰ
Maqooqes,مقوقس
Maroof Ali,معروف علی
Merzooq,مرزوق
Muatriz,معترض
Mustaqassim,مستقسم
Masiha,مسیحا
Mohtidi,مہتدی
Muqtrif,مقترف
Muaaz,معاذ
Musaffa,مصفہ
Muhammad Kinza,محمد کنزا
Mutteher,مطہر
Mirzan,مرزا
Minhan,منہان
Mukhlis Ahmed,مخلص احمد
Musrashay,مسرشع
Mubrezq,مبرزق
Mawra,ماورا
Muqaddas Hussain,مُقدسحسین
Muaniq,معانق
Mughshaf,مغشف
Muhammad Tara,محمد تارا
Mehzin,مہزن
Mushu,مشو
Maisam,میثم
Mujeeze,مجیز
Muhammad Sakina,محمد سکینہ
Miraz,میراز
Mukit,مکیت
Masuk,مسواک
Mafi,مافی
Maheir,مہیر
Munnu,منّو
Muheeb,محب
Mustafizur,مستفیض
Mehmed,محمد
Muhammad Hurriya,محمد حُریت
Minaz,میناز
Miah,میاں
Mavish,ماوش
Muzain,موزین
Maahil,ماہیل
Marsad,مرساد
Micah,میکاہ
Mahbir,مہبیر
Mehad,مہاد
Muhammad Fariha,محمد فریحا
Musaif,موصوف
Mazharul,مظہرال
Muwahid,مواحد
Mehdi Ahmed,مہدی احمد
Maidul,میڈول
Mabrook,میبروک
Maksud,مقصود
Mihad,میہد
Mihal,میہل
Mayar,مایار
Madi,ماڈی
Muhammad Ayesha,محمد عائشہ
Mayar,مایار
Mijan,میجان
Mahenoor,ماہنور
Meezan,میزان
Musaddiq,مصدق
Musaf,مصحف
Mihar,مہار
Mobin,موبین
Masura,مسورا
Mehsaan,مہسان
Milon,ملون
Mehmad,محمد
Musalli,مصلی
Mofijul,مفضول
Mikal,میکال
Mehraz,مہراز
Mahtim,مہتمم
Mahmudul,محمودال
Mehfin,مہفین
Moulali,مولالی
Musafir,مسافر
Mahen,مہین
Mustakim,مستقیم
Moshiur,مشیور
Mansuri,منصوری
Mustakin,مستقین
Mohim,موہیم
Misham,مشام
Mosim,موسیم
Munaim,منائم
Muflihoon,مفلحون
Munasir,منصیر
Musanna,مسنہ
Matari,مٹیاری
Misk,مسک
Marzan,مرجان
Meraz,میٹی
Mustafiz,مستفیض
Muhammad Humaira,محمد حميرا
Mursalim,مرسلیم
Mizanur,میزانور
Meheraj,مہراج
Mehtaz,مہتاز
Monim,مونیم
Mukim,مقیم
Muzi,موزی
Muttaqin,متقین
Muzaif,مضیف
Maiz,مائز
Meehan,میہان
Muttalib,مُطلب
Musavir,مساویر
Muhriz,محریز
Mushrif,مشرف
Maarif,معارف
Mirwais,میرویس
Mohideen,موحدین
Mohabbat,محبّت
Motaz,معتز
Misbahul,مصباح
Musaid,مسید
Mosin,موسین
Mudasir,مدثر
Mashuk,مشوک
Maskur,مسکور
Muhsinin,محسنین
Mafaz,مفاز
Mishab,مشاب
Mufas,مفاس
Mofidul,موفیدول
Moheed,موحد
Muhibullah,محب اللہ
Maktum,مکتوم
Meran,میران
Mushran,مشران
Majidul,ماجدول
Maktub,مکتوب
Mahaz,مہاز
Manus,مانوس
Muhammad Noshaba,محمد نوشابہ
Miski,مسکی
Minhaz,منہاز
Mahidul,معیدول
Mashhad,مشہد
Mirsab,میرصاحب
Muflihun,مفلحون
Mishaal,مشال
Mayaan,مایان
Mayaan,مایان
Mazan,مزان
Muttaqeen,متقین
Munji,مونجی
Maaheed,معید
Merin,میرین
Miyad,میاد
Muawwaz,معاوذ
Mashta,مشتا
Muzahir,مظاہر
Muhaimin,محیمین
Mutawalli,متولی
Muhid,محد
Maaiz,معیز
Mirshad,میرشاد
Murtuza,مرتضیٰ
Mujaddid,مجدد
Maadini,مدینی
Mahiz,مہیز
Minar,مینار
Mahdin,مہدین
Mutaib,مطیب
Musnad,مسند
Miwan,میوان
Miqdam,مقدام
Mozam,موزم
Mirajul,معراج
Mouad,معید
Mayed,مائیڈ
Maimun,میمون
Mashoor,مشور
Masa,مسا
Mubtasim,مبتصم
Mithal,مٹھل
Mufaddal,مفدل
Mahsan,محسن
Midrar,مدرار
Mustansir,مستنصر
Miraf,میراف
Mithar,میٹھار
Manaz,مناز
Mainur,مینور
Mosa,موسی
Mahian,ماہیان
Matar,متر
Manirul,منیرال
Mustak,مستک
Mujab,مجاب
Munal,منال
Maaifu,مایفو
Musaad,موساد
Maadun,مادون
Muawia,معاویہ
Mofiz,حافظ
Muid,معید
Mohibur,محبور
Musan,مسان
Museeb,مصیب
Monji,مونجی
Muhab,محب
Muhtadin,محدثین
Monji,مونجی
Maidan,میدان
Munaj,مناج
Mouza,موضع
Mushtaba,مشتبہ
Muhaib,محب
Miyaz,میاز
Mahasin,مہاسن
Mukthiyar,مختیار
Maahtaab,مہتاب
Mughithuddin,مغیث الدین
Moheen,موہین
Munadi,منادی
Munar,منار
Mavin,ماون
Mihaan,میہان
Masthan,مستھان
Midlaj,مڈلاج
Mafiz,مفض
Mishall,مشال
Majibul,مجیب
Miron,میرون
Mirash,میراش
Muntaqa,منتقہ
Muntakhab,منتخب
Mutaz,معتز
Muqrin,مقرن
Mamon,مامون
Muntakim,متقم
Muntakim,متقم
Muhajir,مہاجر
Mumineen,مومنین
Mumin,مومن
Mazir,مزیر
Maghrib,مغرب
Mulham,ملہم
Monowar,منور
Mazal,مزال
Manjar,منجر
Mukib,مکیب
Mijanur,مجنور
Mutmain,مطمین
Musamma,مسمہ
Mukallaf,مکلف
Marzi,مرزی
Moktar,مختار
Mukhlisi,مخلسی۔
Moidul,معیدول
Muktadir,مقتدر
Mushfiqur,مشفق
Munem,منیم
Maimoon,میمون
Masri,مسری
Mashrafe,مشرف
Mostakim,مستقیم
Madar,مدار
Mica,ابرک
Maayan,مایان
Mashruf,مشروف
Malyar,ملیار
Mulla,ملا
Mustafeez,مصطفیٰ
Mashe,میشے
Moez,معیز
Madhar,مدھر
Mashroof,مشروف
Miad,میاڈ
Mebin,میبین
Mujo,مجو
Mulail,ملائیل
Mufaiz,مفض
Mujibur,مجیب
Masari,مساری
Mehabin,مہابین
Mubassir,مبصر
Mustahsin,مستحسن
Mobasshir,مبشر
Mustafin,مصطفیٰ
Mirshan,میرشان
Mosen,موسین
Mar,مارچ
Muniyan,مغنیہ
Minnah,مننہ
Mouqib,مقیب
Mizyan,میزان
Mustkim,مستقیم
Mukhlas,مخلص
Mosaraf,مصرف
Muhassin,محسن
Monsur,مونسور
Mufliheen,مفلحین
Mohammadi,محمدی
Maazim,معظم
Mukabbir,مکبیر
Mashur,مشور
Mustasim,معتصم
Mojibor,موجیبور
Moshik,مشک
Mazeed,مزید
Madad,مداد
Mannaf,مناف
Mudathir,مدثر
Mashruk,مشرک
Muzhir,مظہر
Mevish,میوش
Muqaffa,موقفہ
Mustafeen,مصطفیٰ
Mistah,مسطح
Muzayyan,موزیان
Mudar,مدر
Majar,ماجر
Mahsun,محسن
Mostafa,مصطفی
Mutakabbir,متکبر
Mahsin,محسن
Muzaid,مزید
Mabad,مباد
Mursa,مرسہ
Miskeen,مسکین
Mabad,مباد
Midad,مداد
Muskin,مسکین
Mudrik,مدرک
Mazar,مزار
Mustahiq,مستحق
Mayeen,مائین
Malinga,ملنگا
Muneez,منیز
Muizzuddin,معیز الدین
Muqit,مقیت
Maani,مانی
Masik,مسک
Mahul,مہول
Moazin,معزن
Muqas,مقاص
Mezbah,میزبہ
Mueid,معید
Masin,مسین
Munkir,منکر
Mohidin,موحدین
Makan,مکن
Mortuza,مرتضیٰ
Mourad,مراد
Mav,ماو
Mousa,موسی
Mohab,محب
Mujahideen,مجاہدین
Maghazi,مغازی
Mukramin,مکرمین
Muafa,موفا
Mashari,مشاری
Murabi,مربی
Mozim,موزم
Mahbubul,محبوب
Mushib,مشیب
Main,مرکزی
Muddassir,مدثر
Moncef,مونسیف
Manafi,منافی
Mirsad,میرساد
Mehzaan,مہزان
Muflihin,مفلحین
Mulhim,ملہم
Matija,متیجہ
Mundi,جید
Minhajuddin,منہاج الدین
Mokbul,مکبل
Muzaini,موزینی
Muhsineen,محسنین
Minh,منہ
Mahmudur,محمود
Mounir,منیر
Muqaddim,مقدّم
Muzammill,مزمل
Munazil,منازل
Mubeer,مبیر
Mehebub,مہیب
Mejdi,میجدی۔
Mushin,مشین
Mushin,مشین
Mahfuj,محفوظ
Mukhtarul,مختارال
Misfar,مسفر
Mustabeen,مستبین
Mamadou,مامادو
Muluk,ملوک
Mehed,مہید
Maisaan,میسان
Maqil,مقل
Mutayyib,مطیب
Maraj,معراج
Mizaan,میزان
Murtuja,منیم
Musah,موسیٰ
Mosabbir,مصعبیر
Mahiyan,ماہیان
Mubashirin,مبشرین
Mustaqar,مستقر
Muhtarim,مہترم
Mourib,مریب
Moiez,موئیز
Mutammim,معتمم
Matun,متون
Muattib,متعب
Mobeen,مبین
Minsar,منصر
Majed,ماجد
Mukhlaseen,مخلصین
Muwas,مواس
Mukhlaseen,مخلصین
Mujeed,مجید
Mashreq,مشرق
Mahzad,مہزاد
Muqsith,مقسیت
Muhyi,موہی
Musallat,مصلحت
Mekael,میکیل
Mahmad,محمد
Mashriq,مشرق
Mushtak,مشتاق
Mahfuzur,محفوظ
Mizyal,میزال
Makil,مکیل
Mujawir,مجاور
Maknun,مکنون
Manari,مناری
Muallim,معلم
Mustapha,مصطفی
Muniruzzaman,منیر الزمان
Munivel,مونیول
Muddakir,مدثر
Maisur,میسور
Musahib,مصاحب
Multamas,ملتمس
Mojaffar,مظفر
Magdi,مگدی
Musfiq,مشفق
Mualla,مولا
Muhaymin,محیمین
Mushrik,مشرک
Misbahi,مصباحی
Matei,کورین
Maishan,میشان
Mustashar,مستشار
Mashhur,مشہور
Mujahed,مجاہد
Maera,مائرہ
Mukhlisin,مخلصین
Musiq,میوزک
Muktar,مختار
Mulazum,ملازوم
Mussa,موسیٰ
Murshidi,مرشدی
Muzni,مزنی
Murih,مریھان
Mozaffar,مظفر
Magomed,میگومڈ
Mizbah,مزبہ
Munzirin,منذرین
Maalam,مالم
Moheb,محب
Mosharraf,مشرف
Masjid,مسجد
Munadil,منادیل
Mustaba,مصطفٰی
Moutaz,معتز
Misbaul,مصباح
Musabir,مصابیر
Musaddad,مصدّد
Mahroof,مہروف
Moheem,موہیم
Mohanad,موہناد
Munier,منیر
Mohinur,محینور
Mamdud,ممدود
Mursali,مرسلی
Moutasim,معتصم
Mashhoor,مشہور
Makbul,مکبل
Muqam,مقام
Mustaqir,مستقر
Musawir,مساویر
Mafas,مفاس
Mufsir,مفسر
Maayish,مایش
Mashkuri,مشکوری۔
Muhazib,محب
Mutairi,مطیری
Mushaffa,مصحف
Maysara,میسارا
Mulvi,مولوی
Mokibul,مکیبول
Mohidur,محیدر
Majumder,مجمدر
Musawi,موسوی
Musim,مسم
Musheen,مشین
Muqassim,مقاصم
Munahid,مناہد
Munahid,مناہد
Muzdahir,مزداہر
Moyeed,معید
Muzanni,مزنی
Mustafah,مصحف
Munawwir,منور
Muneem,موتی
Mabood,مبعود
Masruf,مسرف
Manarul,منارول
Mukhlasin,مخلصین
Mamar,معمر
Muhair,محیر
Majha,ماجھا۔
Mokhtar,مختار
Maik,میک
Murkhi,مرخی
Mubid,مبید
Mehzar,مہزار
Mahraz,مہراز
Mozn,موزن
Mahedi,مہدی
Muazzim,معظم
Minnatullah,منت اللہ
Muridan,مریدان
Munqad,منقد
Mutahhir,مطاہر
Mashruh,مشروہ
Multamis,ملتامیس
Masudi,مسعودی
Maslahuddin,مصلح الدین
Mukhbiteen,مختین
Mudasser,مدثر
Mahrus,مہرس
Maali,مالی
Maati,ماٹی
Mayiz,مایز
Muinudeen,معین الدین
Mufakhar,مفخر
Matir,ماتیر
Mustafe,مصطفی
Mifyaz,مفتاز
Mahja,مہجا
Mahbod,مہبود
Moziz,موزیز
Masakin,مساکین
Mansar,مانسر
Muhanad,مہند
Mutamin,مطمین
Mimshad,میمشاد
Muqid,مقید
Mostofa,مصطفیٰ
Muntahaa,منتہا
Mausoof,موصوف
Mujammal,مزمل
Munkadir,منقدیر
Muhabbab,محبّ
Matheen,متین
Makka,مکہ
Maed,معید
Muhabbab,محبّ
Musafer,مسفر
Mufal,مفل
Mojib,مجیب
Muhtadeen,محدثین
Mustakeem,مستقیم
Mihwar,میہور
Munqiz,منقیز
Mashir,مشیر
Mulayin,ملطیف
Mustaqil,مستقیل
Mahzuz,مہزوز
Mufzil,مفضل
Mutalib,مطلب
Musnid,مسنید
Mishar,مشر
Muslihoon,مصلحون
Munjid,منجد
Mulahib,مولاب
Mukairim,مکرم
Mufazil,مفضل
Moein,معین
Mukhliseen,مخلسین
Meherban,مہربان
Mamoun,مامون
